rank,team,total,nmae,ficr,subs,when,resid,prem_vs_ours
1,연식2,0.67365,0.87964,0.46767,146,17시간 전,0.024560026804209156,0.005391649999999915
2,서울대 노원캠퍼스,0.67234,0.88751,0.45718,101,하루 전,0.0076837772818874606,-0.02249105000000018
3,jason99,0.6717,0.88693,0.45646,158,12시간 전,0.00743442845379938,-0.021929250000000122
4,늙코코,0.67161,0.89004,0.45318,67,32분 전,0.0016307644113063846,-0.032082350000000204
5,J4_208,0.66977,0.87916,0.46037,125,4시간 전,0.017649531222343084,-0.0008475500000001968
6,별하솜,0.66888,0.88787,0.44989,89,4시간 전,0.00010164896828701586,-0.030576650000000205
7,eigenarea,0.66707,0.88541,0.44873,29,9일 전,0.0009378591112236268,-0.02630005000000013
8,GBSNU,0.66703,0.87932,0.45473,23,23일 전,0.011879696416298546,-0.0068411500000000736
9,양재혁,0.66703,0.87959,0.45447,130,17시간 전,0.011400600181098175,-0.007697850000000062
10,정민콘,0.6647,0.87428,0.45512,43,16시간 전,0.01635949280670529,0.004687250000000032
11,doinggyu,0.66429,0.87533,0.45325,103,3시간 전,0.013637451892037078,0.0004967499999997682
12,AI친놈,0.66403,0.87354,0.45451,51,14시간 전,0.016349978784661878,0.005712649999999986
13,채대언,0.66366,0.87413,0.45318,135,17시간 전,0.014541212937372205,0.003078750000000019
14,도은띠니,0.66323,0.87349,0.45297,28,하루 전,0.014850552161550734,0.004283149999999902
15,재원쥐,0.66233,0.88449,0.44017,28,5일 전,-0.0068755907540195005,-0.032826850000000074
16,가헌,0.66227,0.8744,0.45013,105,8시간 전,0.01127211670217182,-0.0005679500000000393
17,이선재,0.66186,0.87422,0.44951,77,하루 전,0.01079818085897205,-0.0007901500000001005
18,기면수,0.6614,0.87792,0.44488,144,8시간 전,0.003165750969189196,-0.013597150000000169
19,wonjunsea,0.66139,0.8779,0.44488,140,17시간 전,0.0031819803199448216,-0.013552950000000119
20,유채원,0.66125,0.87787,0.44464,155,17시간 전,0.0029663243460781863,-0.013726650000000229
21,민성쿤,0.66122,0.87398,0.44846,86,하루 전,0.009942933068039006,-0.001309750000000054
22,kolonist26,0.66115,0.8786,0.44371,101,2일 전,0.0014439530434993686,-0.0162699500000002
23,개개,0.66107,0.87749,0.44466,150,3시간 전,0.0032946820104343133,-0.012866850000000096
24,두바이쫀뜩쿠키,0.66065,0.87467,0.44662,124,9시간 전,0.007543020466971417,-0.004674649999999947
25,준영인데용,0.66038,0.87348,0.44729,140,28분 전,0.009178666836928528,-0.0013747500000001467
26,김경민_,0.6601,0.87345,0.44675,95,3일 전,0.008663010863061982,-0.0018484500000000015
27,ㄱㅎㅅ,0.66006,0.87655,0.44356,113,8시간 전,0.0029574614959466117,-0.01188945000000019
28,코난2,0.65986,0.87611,0.44361,151,15시간 전,0.0033645072125694786,-0.010867050000000211
29,보리동현,0.65983,0.8785,0.44116,135,7시간 전,-0.0010249002027226117,-0.018598950000000003
30,하경민,0.65977,0.87267,0.44688,134,8시간 전,0.00942595554252973,5.350000000015065e-06
31,한다리,0.65971,0.87991,0.43952,68,7시간 전,-0.00380906943099113,-0.02335504999999999
32,wanna_go_home,0.65943,0.87805,0.4408,95,17시간 전,-0.0010197398107219535,-0.017964450000000076
33,지원XD,0.65931,0.87384,0.44477,141,2일 전,0.006366538523328136,-0.00469035000000001
34,theseung,0.65876,0.87164,0.44588,28,25일 전,0.009261767106442165,0.0012816499999999675
35,동글동현,0.65826,0.87726,0.43925,58,하루 전,-0.0019286804558766302,-0.017768550000000216
36,Team-Axis,0.65794,0.87226,0.44362,112,21시간 전,0.006498657233019012,-0.0023485500000001713
37,dnwnfptlvl,0.65738,0.87754,0.43722,4,9일 전,-0.004185891366454697,-0.020417350000000056
38,햄들지않아,0.6573,0.87791,0.43669,87,2시간 전,-0.005016134355432911,-0.021765050000000008
39,COALING,0.65709,0.87258,0.44159,56,6시간 전,0.004208987620929749,-0.0050857500000001665
40,h3g,0.65703,0.87212,0.44194,75,5시간 전,0.004932262688308153,-0.0037191500000001154
41,seren1110,0.65697,0.87851,0.43542,80,7시간 전,-0.006773014878100503,-0.024361050000000162
42,ㅅㅇㅇㅌㄹㅇ,0.65686,0.87213,0.44158,34,11일 전,0.004564148012930369,-0.004101250000000056
43,tangu,0.65683,0.87221,0.44144,29,20시간 전,0.004359230609908005,-0.004418050000000173
44,930geo,0.65668,0.87263,0.44073,102,3일 전,0.0033084142440407693,-0.006056250000000152
45,tjfls,0.65654,0.87143,0.44165,66,3일 전,0.005202175289375721,-0.0024842500000001877
