,0
atm__theta700_minus_theta850,697
gfs__isobaricInhPa_500_t__std,615
atm__theta500_minus_theta700,604
ldaps_spatial__idw__wind5_speed__batch_mean,587
gfs__isobaricInhPa_850_t__std,565
gfs__meanSea_0_prmsl__std,538
gfs__heightAboveGround_2_2r__std,535
gfs__wind700_speed__std,529
gfs__wind850_speed__std,522
gfs__wind500_speed__std,519
gfs__heightAboveGround_2_2d__std,517
gfs__isobaricInhPa_700_t__std,513
day_of_year,512
cal__doy_sin,510
ldaps_spatial__idw__wind5_dir_cos,503
cal__doy_cos,499
gfs__wind850_speed__mean__d1,481
ldaps__heightAboveGround_2_dpt__std,477
gfs_spatial__idw__wind100_dir_sin__d1,474
gfs__atmosphere_0_tcc__std,472
gfs__wind850_speed__mean__d3,470
ldaps_spatial__idw__wind5_speed__lag6,464
ldaps_spatial__idw__wind50min_speed__d-1,459
ldaps_spatial__idw__wind5_speed__d1,453
gfs_spatial__idw__wind100_dir_sin__d-1,453
ldaps__heightAboveGround_2_t__std,451
ldaps_spatial__idw__wind5_speed__d2,451
gfs__wind850_speed__mean__d-1,446
ldaps_spatial__idw__wind5_speed__d-1,445
ldaps_spatial__idw__wind5_speed__d3,443
gfs__wind850_speed__mean__d-3,442
gfs__wind10_speed__std,441
gfs_spatial__idw__wind100_dir_sin__d-3,437
ldaps__meanSea_0_prmsl__std,437
ldaps_spatial__idw__heightAboveGround_2_t__d-3,433
gfs__heightAboveGround_2_2sh__std,429
gfs_spatial__idw__wind100_dir_sin__d-2,427
ldaps__wind10_speed__std,426
ldaps_spatial__idw__etc_0_blh__lag-6,423
ldaps_spatial__idw__wind10_speed__d-1,421
ldaps_spatial__idw__heightAboveGround_2_t__lag6,419
ldaps_spatial__idw__wind50max_dir_sin__d1,417
gfs_spatial__idw__wind100_dir_cos__d3,417
ldaps_spatial__idw__wind50max_dir_sin__d3,414
gfs__wind850_speed__mean__d2,414
gfs_spatial__idw__wind100_dir_cos__d-1,413
ldaps_spatial__idw__surface_0_sp,411
gfs_spatial__idw__surface_0_gust__d1,408
gfs_spatial__idw__wind100_dir_cos__lag-6,408
ldaps_spatial__idw__wind50max_dir_sin__d-3,406
ldaps_spatial__idw__wind50max_dir_cos__d-1,406
ldaps_spatial__idw__wind5_speed__batch_anom,404
ldaps_spatial__idw__wind50min_speed__d1,403
gfs_spatial__idw__wind100_dir_sin__lag-6,403
ldaps_spatial__idw__wind50max_dir_cos__d3,403
ldaps_spatial__idw__etc_0_blh__lag3,401
ldaps_spatial__idw__wind50max_dir_sin__lag6,400
ldaps_spatial__idw__wind5_speed__d-2,399
ldaps_spatial__idw__etc_0_blh__lag6,399
ldaps_spatial__idw__wind50max_dir_cos__lag-6,398
