,0
atm__theta700_minus_theta850,352
cal__doy_sin,308
atm__theta500_minus_theta700,291
ldaps_spatial__idw__wind5_speed__batch_mean,286
cal__doy_cos,279
gfs__heightAboveGround_2_2d__std,262
day_of_year,246
gfs__isobaricInhPa_500_gh__mean,237
gfs__wind850_speed__mean__d1,229
ldaps__heightAboveGround_2_dpt__std,228
gfs__wind850_speed__std,226
ldaps__heightAboveGround_2_t__std,226
gfs__isobaricInhPa_850_t__std,223
gfs_spatial__idw__wind100_dir_cos__lag-6,222
ldaps_spatial__idw__wind5_dir_cos,219
ldaps__wind50max_speed__std,216
gfs__wind700_speed__std,215
ldaps_spatial__idw__etc_0_blh__lag-6,212
gfs__wind850_speed__mean__d-1,212
gfs__heightAboveGround_2_2r__std,208
gfs_spatial__idw__wind100_dir_sin__lag-6,207
gfs_spatial__idw__wind100_dir_cos__lag-2,206
gfs__wind700_speed__q90,204
gfs_spatial__idw__wind100_dir_cos__lag-1,203
gfs__isobaricInhPa_500_gh__std,203
gfs__wind700_speed__q10,202
gfs__wind850_speed__mean__d3,200
gfs__isobaricInhPa_500_t__std,200
ldaps__etc_0_blh__std,198
gfs__meanSea_0_prmsl__std,196
ldaps_spatial__idw__heightAboveGround_2_t__d-3,195
gfs__wind850_speed__mean__lag-6,195
atm__lapse_2m_850,192
gfs__wind850_speed__mean__d2,188
ldaps_spatial__idw__heightAboveGround_2_t__lag6,188
ldaps_spatial__idw__wind5_speed__d-3,188
ldaps_spatial__idw__wind10_speed__d-3,187
gfs__isobaricInhPa_500_t__mean,187
ldaps_spatial__idw__wind5_speed__lag6,186
gfs__atmosphere_0_tcc__std,185
ldaps_spatial__idw__wind50max_dir_sin__d3,184
ldaps_spatial__idw__heightAboveGround_2_t__d1,183
phys__hub117_speed__batch_mean,183
gfs_spatial__idw__wind100_dir_sin__d-1,182
gfs_spatial__idw__wind100_dir_cos__d3,180
ldaps_spatial__idw__etc_0_blh__lag2,179
gfs__wind850_speed__q50,178
gfs_spatial__idw__surface_0_gust__d-2,178
ldaps_spatial__idw__etc_0_blh__lag6,177
ldaps__meanSea_0_prmsl__mean,176
ldaps_spatial__idw__wind5_speed__d1,176
ldaps_spatial__idw__etc_0_blh__lag3,175
gfs_spatial__idw__wind100_dir_sin__d-3,174
gfs__wind500_speed__std,174
ldaps_spatial__idw__wind50max_dir_cos__lag6,174
ldaps__wind50min_speed__std,173
gfs__heightAboveGround_2_2sh__std,172
gfs__wind850_speed__mean__d-3,171
gfs__isobaricInhPa_700_t__mean,171
ldaps_spatial__idw__wind50max_dir_cos__lag-6,170
ldaps_spatial__idw__heightAboveGround_2_t__d-2,170
ldaps_spatial__idw__etc_0_blh__d-1,170
ldaps_spatial__idw__etc_0_blh__d2,170
gfs__wind850_speed__mean__lag6,169
gfs__wind850_speed__mean__lag-3,169
gfs_spatial__idw__wind10_speed__batch_mean,169
gfs__isobaricInhPa_700_t__std,167
gfs__wind850_speed__mean__lag3,166
gfs__heightAboveGround_2_2t__std,166
gfs__wind10_speed__std,166
phys__hub117_speed__lag6,164
gfs__wind850_speed__mean__d-2,163
gfs__wind700_speed__mean,163
gfs_spatial__idw__surface_0_gust__d1,163
gfs__meanSea_0_prmsl__mean,163
phys__hub117_speed__d1,162
gfs__surface_0_sp__mean,162
ldaps_spatial__idw__wind5_dir_sin,162
ldaps__surface_0_sp__mean,162
ldaps_spatial__idw__etc_0_blh__d-3,162
